Description,Native,Bytes,R-encoding,score
FACE SAVOURING DELICIOUS FOOD,😋,\xF0\x9F\x98\x8B,<ed><a0><bd><ed><b8><8b>,9
FACE SCREAMING IN FEAR,😱,\xF0\x9F\x98\xB1,<ed><a0><bd><ed><b8><b1>,-9
FACE THROWING A KISS,😘,\xF0\x9F\x98\x98,<ed><a0><bd><ed><b8><98>,9
FACE WITH COLD SWEAT,😓,\xF0\x9F\x98\x93,<ed><a0><bd><ed><b8><93>,-9
FACE WITH LOOK OF TRIUMPH,😤,\xF0\x9F\x98\xA4,<ed><a0><bd><ed><b8><a4>,-9
FACE WITH MEDICAL MASK,😷,\xF0\x9F\x98\xB7,<ed><a0><bd><ed><b8><b7>,-9
FACE WITH NO GOOD GESTURE,🙅,\xF0\x9F\x99\x85,<ed><a0><bd><ed><b9><85>,-9
FACE WITH OK GESTURE,🙆,\xF0\x9F\x99\x86,<ed><a0><bd><ed><b9><86>,9
FACE WITH OPEN MOUTH,😮,\xF0\x9F\x98\xAE,<ed><a0><bd><ed><b8><ae>,-9
FACE WITH OPEN MOUTH AND COLD SWEAT,😰,\xF0\x9F\x98\xB0,<ed><a0><bd><ed><b8><b0>,-9
FACE WITH STUCK-OUT TONGUE,😛,\xF0\x9F\x98\x9B,<ed><a0><bd><ed><b8><9b>,9
FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,😝,\xF0\x9F\x98\x9D,<ed><a0><bd><ed><b8><9d>,9
FACE WITH STUCK-OUT TONGUE AND WINKING EYE,😜,\xF0\x9F\x98\x9C,<ed><a0><bd><ed><b8><9c>,9
FACE WITH TEARS OF JOY,😂,\xF0\x9F\x98\x82,<ed><a0><bd><ed><b8><82>,9
FACE WITHOUT MOUTH,😶,\xF0\x9F\x98\xB6,<ed><a0><bd><ed><b8><b6>,-9
FACTORY,🏭,\xF0\x9F\x8F\xAD,<ed><a0><bc><ed><bf><ad>,0
FALLEN LEAF,🍂,\xF0\x9F\x8D\x82,<ed><a0><bc><ed><bd><82>,0
FAMILY,👪,\xF0\x9F\x91\xAA,<ed><a0><bd><ed><b1><aa>,0
FATHER CHRISTMAS,🎅,\xF0\x9F\x8E\x85,<ed><a0><bc><ed><be><85>,9
FAX MACHINE,📠,\xF0\x9F\x93\xA0,<ed><a0><bd><ed><b3><a0>,0
FEARFUL FACE,😨,\xF0\x9F\x98\xA8,<ed><a0><bd><ed><b8><a8>,-9
FERRIS WHEEL,🎡,\xF0\x9F\x8E\xA1,<ed><a0><bc><ed><be><a1>,0
FILE FOLDER,📁,\xF0\x9F\x93\x81,<ed><a0><bd><ed><b3><81>,0
FIRE,🔥,\xF0\x9F\x94\xA5,<ed><a0><bd><ed><b4><a5>,9
FIRE ENGINE,🚒,\xF0\x9F\x9A\x92,<ed><a0><bd><ed><ba><92>,0
FIREWORK SPARKLER,🎇,\xF0\x9F\x8E\x87,<ed><a0><bc><ed><be><87>,0
FIREWORKS,🎆,\xF0\x9F\x8E\x86,<ed><a0><bc><ed><be><86>,0
FIRST QUARTER MOON SYMBOL,🌓,\xF0\x9F\x8C\x93,<ed><a0><bc><ed><bc><93>,0
FIRST QUARTER MOON WITH FACE,🌛,\xF0\x9F\x8C\x9B,<ed><a0><bc><ed><bc><9b>,0
FISH,🐟,\xF0\x9F\x90\x9F,<ed><a0><bd><ed><b0><9f>,0
FISH CAKE WITH SWIRL DESIGN,🍥,\xF0\x9F\x8D\xA5,<ed><a0><bc><ed><bd><a5>,0
FISHING POLE AND FISH,🎣,\xF0\x9F\x8E\xA3,<ed><a0><bc><ed><be><a3>,0
FISTED HAND SIGN,👊,\xF0\x9F\x91\x8A,<ed><a0><bd><ed><b1><8a>,-9
FLAG IN HOLE,⛳,\xE2\x9B\xB3,<e2><9b><b3>,0
FLEXED BICEPS,💪,\xF0\x9F\x92\xAA,<ed><a0><bd><ed><b2><aa>,9
FLOPPY DISK,💾,\xF0\x9F\x92\xBE,<ed><a0><bd><ed><b2><be>,0
FLOWER PLAYING CARDS,🎴,\xF0\x9F\x8E\xB4,<ed><a0><bc><ed><be><b4>,0
FLUSHED FACE,😳,\xF0\x9F\x98\xB3,<ed><a0><bd><ed><b8><b3>,-9
FOGGY,🌁,\xF0\x9F\x8C\x81,<ed><a0><bc><ed><bc><81>,0
FOOTPRINTS,👣,\xF0\x9F\x91\xA3,<ed><a0><bd><ed><b1><a3>,0
FORK AND KNIFE,🍴,\xF0\x9F\x8D\xB4,<ed><a0><bc><ed><bd><b4>,0
FOUNTAIN,⛲,\xE2\x9B\xB2,<e2><9b><b2>,0
FOUR LEAF CLOVER,🍀,\xF0\x9F\x8D\x80,<ed><a0><bc><ed><bd><80>,0
FRENCH FRIES,🍟,\xF0\x9F\x8D\x9F,<ed><a0><bc><ed><bd><9f>,0
FRIED SHRIMP,🍤,\xF0\x9F\x8D\xA4,<ed><a0><bc><ed><bd><a4>,0
FROG FACE,🐸,\xF0\x9F\x90\xB8,<ed><a0><bd><ed><b0><b8>,9
FRONT-FACING BABY CHICK,🐥,\xF0\x9F\x90\xA5,<ed><a0><bd><ed><b0><a5>,0
FROWNING FACE WITH OPEN MOUTH,😦,\xF0\x9F\x98\xA6,<ed><a0><bd><ed><b8><a6>,-9
FUEL PUMP,⛽,\xE2\x9B\xBD,<e2><9b><bd>,0
FULL MOON SYMBOL,🌕,\xF0\x9F\x8C\x95,<ed><a0><bc><ed><bc><95>,0
FULL MOON WITH FACE,🌝,\xF0\x9F\x8C\x9D,<ed><a0><bc><ed><bc><9d>,0
GAME DIE,🎲,\xF0\x9F\x8E\xB2,<ed><a0><bc><ed><be><b2>,0
GEM STONE,💎,\xF0\x9F\x92\x8E,<ed><a0><bd><ed><b2><8e>,0
GEMINI,♊,\xE2\x99\x8A,<e2><99><8a>,0
GHOST,👻,\xF0\x9F\x91\xBB,<ed><a0><bd><ed><b1><bb>,9
GIRL,👧,\xF0\x9F\x91\xA7,<ed><a0><bd><ed><b1><a7>,9
GLOBE WITH MERIDIANS,🌐,\xF0\x9F\x8C\x90,<ed><a0><bc><ed><bc><90>,0
GLOWING STAR,🌟,\xF0\x9F\x8C\x9F,<ed><a0><bc><ed><bc><9f>,9
GOAT,🐐,\xF0\x9F\x90\x90,<ed><a0><bd><ed><b0><90>,0
GRADUATION CAP,🎓,\xF0\x9F\x8E\x93,<ed><a0><bc><ed><be><93>,0
GRAPES,🍇,\xF0\x9F\x8D\x87,<ed><a0><bc><ed><bd><87>,0
GREEN APPLE,🍏,\xF0\x9F\x8D\x8F,<ed><a0><bc><ed><bd><8f>,0
GREEN BOOK,📗,\xF0\x9F\x93\x97,<ed><a0><bd><ed><b3><97>,0
GREEN HEART,💚,\xF0\x9F\x92\x9A,<ed><a0><bd><ed><b2><9a>,9
GRIMACING FACE,😬,\xF0\x9F\x98\xAC,<ed><a0><bd><ed><b8><ac>,9
GRINNING CAT FACE WITH SMILING EYES,😸,\xF0\x9F\x98\xB8,<ed><a0><bd><ed><b8><b8>,9
GRINNING FACE,😀,\xF0\x9F\x98\x80,<ed><a0><bd><ed><b8><80>,9
GRINNING FACE WITH SMILING EYES,😁,\xF0\x9F\x98\x81,<ed><a0><bd><ed><b8><81>,9
GROWING HEART,💗,\xF0\x9F\x92\x97,<ed><a0><bd><ed><b2><97>,9
GUARDSMAN,💂,\xF0\x9F\x92\x82,<ed><a0><bd><ed><b2><82>,0
GUITAR,🎸,\xF0\x9F\x8E\xB8,<ed><a0><bc><ed><be><b8>,0
HAIRCUT,💇,\xF0\x9F\x92\x87,<ed><a0><bd><ed><b2><87>,9
HAMBURGER,🍔,\xF0\x9F\x8D\x94,<ed><a0><bc><ed><bd><94>,0
HAMMER,🔨,\xF0\x9F\x94\xA8,<ed><a0><bd><ed><b4><a8>,0
HAMSTER FACE,🐹,\xF0\x9F\x90\xB9,<ed><a0><bd><ed><b0><b9>,0
HANDBAG,👜,\xF0\x9F\x91\x9C,<ed><a0><bd><ed><b1><9c>,0
HAPPY PERSON RAISING ONE HAND,🙋,\xF0\x9F\x99\x8B,<ed><a0><bd><ed><b9><8b>,9
HATCHING CHICK,🐣,\xF0\x9F\x90\xA3,<ed><a0><bd><ed><b0><a3>,0
HEADPHONE,🎧,\xF0\x9F\x8E\xA7,<ed><a0><bc><ed><be><a7>,0
HEAR-NO-EVIL MONKEY,🙉,\xF0\x9F\x99\x89,<ed><a0><bd><ed><b9><89>,0
HEART DECORATION,💟,\xF0\x9F\x92\x9F,<ed><a0><bd><ed><b2><9f>,9
HEART WITH ARROW,💘,\xF0\x9F\x92\x98,<ed><a0><bd><ed><b2><98>,9
HEART WITH RIBBON,💝,\xF0\x9F\x92\x9D,<ed><a0><bd><ed><b2><9d>,9
HEAVY BLACK HEART,❤,\xE2\x9D\xA4,<e2><9d><a4>,0
HEAVY CHECK MARK,✔,\xE2\x9C\x94,<e2><9c><94>,0
HEAVY DIVISION SIGN,➗,\xE2\x9E\x97,<e2><9e><97>,0
HEAVY DOLLAR SIGN,💲,\xF0\x9F\x92\xB2,<ed><a0><bd><ed><b2><b2>,0
HEAVY EXCLAMATION MARK SYMBOL,❗,\xE2\x9D\x97,<e2><9d><97>,0
HEAVY LARGE CIRCLE,⭕,\xE2\xAD\x95,<e2><ad><95>,0
HEAVY MINUS SIGN,➖,\xE2\x9E\x96,<e2><9e><96>,0
HEAVY MULTIPLICATION X,✖,\xE2\x9C\x96,<e2><9c><96>,0
HEAVY PLUS SIGN,➕,\xE2\x9E\x95,<e2><9e><95>,0
HELICOPTER,🚁,\xF0\x9F\x9A\x81,<ed><a0><bd><ed><ba><81>,0
HERB,🌿,\xF0\x9F\x8C\xBF,<ed><a0><bc><ed><bc><bf>,0
HIBISCUS,🌺,\xF0\x9F\x8C\xBA,<ed><a0><bc><ed><bc><ba>,0
HIGH BRIGHTNESS SYMBOL,🔆,\xF0\x9F\x94\x86,<ed><a0><bd><ed><b4><86>,0
HIGH VOLTAGE SIGN,⚡,\xE2\x9A\xA1,<e2><9a><a1>,0
HIGH-HEELED SHOE,👠,\xF0\x9F\x91\xA0,<ed><a0><bd><ed><b1><a0>,0
HIGH-SPEED TRAIN,🚄,\xF0\x9F\x9A\x84,<ed><a0><bd><ed><ba><84>,0
HIGH-SPEED TRAIN WITH BULLET NOSE,🚅,\xF0\x9F\x9A\x85,<ed><a0><bd><ed><ba><85>,0
HOCHO,🔪,\xF0\x9F\x94\xAA,<ed><a0><bd><ed><b4><aa>,-9
HONEY POT,🍯,\xF0\x9F\x8D\xAF,<ed><a0><bc><ed><bd><af>,0
HONEYBEE,🐝,\xF0\x9F\x90\x9D,<ed><a0><bd><ed><b0><9d>,0
HORIZONTAL TRAFFIC LIGHT,🚥,\xF0\x9F\x9A\xA5,<ed><a0><bd><ed><ba><a5>,0
HORSE,🐎,\xF0\x9F\x90\x8E,<ed><a0><bd><ed><b0><8e>,0
HORSE FACE,🐴,\xF0\x9F\x90\xB4,<ed><a0><bd><ed><b0><b4>,0
HORSE RACING,🏇,\xF0\x9F\x8F\x87,<ed><a0><bc><ed><bf><87>,0
HOSPITAL,🏥,\xF0\x9F\x8F\xA5,<ed><a0><bc><ed><bf><a5>,0
HOT BEVERAGE,☕,\xE2\x98\x95,<e2><98><95>,0
HOT SPRINGS,♨,\xE2\x99\xA8,<e2><99><a8>,0
HOTEL,🏨,\xF0\x9F\x8F\xA8,<ed><a0><bc><ed><bf><a8>,0
HOURGLASS,⌛,\xE2\x8C\x9B,<e2><8c><9b>,0
HOURGLASS WITH FLOWING SAND,⏳,\xE2\x8F\xB3,<e2><8f><b3>,0
HOUSE BUILDING,🏠,\xF0\x9F\x8F\xA0,<ed><a0><bc><ed><bf><a0>,0
HOUSE WITH GARDEN,🏡,\xF0\x9F\x8F\xA1,<ed><a0><bc><ed><bf><a1>,0
HUNDRED POINTS SYMBOL,💯,\xF0\x9F\x92\xAF,<ed><a0><bd><ed><b2><af>,0
HUSHED FACE,😯,\xF0\x9F\x98\xAF,<ed><a0><bd><ed><b8><af>,-9
ICE CREAM,🍨,\xF0\x9F\x8D\xA8,<ed><a0><bc><ed><bd><a8>,0
IMP,👿,\xF0\x9F\x91\xBF,<ed><a0><bd><ed><b1><bf>,-9
INBOX TRAY,📥,\xF0\x9F\x93\xA5,<ed><a0><bd><ed><b3><a5>,0
INCOMING ENVELOPE,📨,\xF0\x9F\x93\xA8,<ed><a0><bd><ed><b3><a8>,0
INFORMATION DESK PERSON,💁,\xF0\x9F\x92\x81,<ed><a0><bd><ed><b2><81>,9
INFORMATION SOURCE,ℹ,\xE2\x84\xB9,<e2><84><b9>,0
INPUT SYMBOL FOR LATIN CAPITAL LETTERS,🔠,\xF0\x9F\x94\xA0,<ed><a0><bd><ed><b4><a0>,0
INPUT SYMBOL FOR LATIN LETTERS,🔤,\xF0\x9F\x94\xA4,<ed><a0><bd><ed><b4><a4>,0
INPUT SYMBOL FOR LATIN SMALL LETTERS,🔡,\xF0\x9F\x94\xA1,<ed><a0><bd><ed><b4><a1>,0
INPUT SYMBOL FOR NUMBERS,🔢,\xF0\x9F\x94\xA2,<ed><a0><bd><ed><b4><a2>,0
INPUT SYMBOL FOR SYMBOLS,🔣,\xF0\x9F\x94\xA3,<ed><a0><bd><ed><b4><a3>,0
IZAKAYA LANTERN,🏮,\xF0\x9F\x8F\xAE,<ed><a0><bc><ed><bf><ae>,0
JACK-O-LANTERN,🎃,\xF0\x9F\x8E\x83,<ed><a0><bc><ed><be><83>,0
JAPANESE CASTLE,🏯,\xF0\x9F\x8F\xAF,<ed><a0><bc><ed><bf><af>,0
JAPANESE DOLLS,🎎,\xF0\x9F\x8E\x8E,<ed><a0><bc><ed><be><8e>,0
JAPANESE GOBLIN,👺,\xF0\x9F\x91\xBA,<ed><a0><bd><ed><b1><ba>,-9
JAPANESE OGRE,👹,\xF0\x9F\x91\xB9,<ed><a0><bd><ed><b1><b9>,-9
JAPANESE POST OFFICE,🏣,\xF0\x9F\x8F\xA3,<ed><a0><bc><ed><bf><a3>,0
JAPANESE SYMBOL FOR BEGINNER,🔰,\xF0\x9F\x94\xB0,<ed><a0><bd><ed><b4><b0>,0
JEANS,👖,\xF0\x9F\x91\x96,<ed><a0><bd><ed><b1><96>,0
KEY,🔑,\xF0\x9F\x94\x91,<ed><a0><bd><ed><b4><91>,0
KEYCAP TEN,🔟,\xF0\x9F\x94\x9F,<ed><a0><bd><ed><b4><9f>,0
KIMONO,👘,\xF0\x9F\x91\x98,<ed><a0><bd><ed><b1><98>,0
KISS,💏,\xF0\x9F\x92\x8F,<ed><a0><bd><ed><b2><8f>,9
KISS MARK,💋,\xF0\x9F\x92\x8B,<ed><a0><bd><ed><b2><8b>,9
KISSING CAT FACE WITH CLOSED EYES,😽,\xF0\x9F\x98\xBD,<ed><a0><bd><ed><b8><bd>,9
KISSING FACE,😗,\xF0\x9F\x98\x97,<ed><a0><bd><ed><b8><97>,9
KISSING FACE WITH CLOSED EYES,😚,\xF0\x9F\x98\x9A,<ed><a0><bd><ed><b8><9a>,9
KISSING FACE WITH SMILING EYES,😙,\xF0\x9F\x98\x99,<ed><a0><bd><ed><b8><99>,9
KOALA,🐨,\xF0\x9F\x90\xA8,<ed><a0><bd><ed><b0><a8>,0
LADY BEETLE,🐞,\xF0\x9F\x90\x9E,<ed><a0><bd><ed><b0><9e>,0
LARGE BLUE CIRCLE,🔵,\xF0\x9F\x94\xB5,<ed><a0><bd><ed><b4><b5>,0
LARGE BLUE DIAMOND,🔷,\xF0\x9F\x94\xB7,<ed><a0><bd><ed><b4><b7>,0
LARGE ORANGE DIAMOND,🔶,\xF0\x9F\x94\xB6,<ed><a0><bd><ed><b4><b6>,0
LARGE RED CIRCLE,🔴,\xF0\x9F\x94\xB4,<ed><a0><bd><ed><b4><b4>,0
LAST QUARTER MOON SYMBOL,🌗,\xF0\x9F\x8C\x97,<ed><a0><bc><ed><bc><97>,0
LAST QUARTER MOON WITH FACE,🌜,\xF0\x9F\x8C\x9C,<ed><a0><bc><ed><bc><9c>,0
LEAF FLUTTERING IN WIND,🍃,\xF0\x9F\x8D\x83,<ed><a0><bc><ed><bd><83>,0
LEDGER,📒,\xF0\x9F\x93\x92,<ed><a0><bd><ed><b3><92>,0
LEFT LUGGAGE,🛅,\xF0\x9F\x9B\x85,<ed><a0><bd><ed><bb><85>,0
LEFT RIGHT ARROW,↔,\xE2\x86\x94,<e2><86><94>,0
LEFT-POINTING MAGNIFYING GLASS,🔍,\xF0\x9F\x94\x8D,<ed><a0><bd><ed><b4><8d>,0
LEFTWARDS ARROW WITH HOOK,↩,\xE2\x86\xA9,<e2><86><a9>,0
LEFTWARDS BLACK ARROW,⬅,\xE2\xAC\x85,<e2><ac><85>,0
LEMON,🍋,\xF0\x9F\x8D\x8B,<ed><a0><bc><ed><bd><8b>,0
LEO,♌,\xE2\x99\x8C,<e2><99><8c>,0
LEOPARD,🐆,\xF0\x9F\x90\x86,<ed><a0><bd><ed><b0><86>,0
LIBRA,♎,\xE2\x99\x8E,<e2><99><8e>,0
LIGHT RAIL,🚈,\xF0\x9F\x9A\x88,<ed><a0><bd><ed><ba><88>,0
LINK SYMBOL,🔗,\xF0\x9F\x94\x97,<ed><a0><bd><ed><b4><97>,0
LIPSTICK,💄,\xF0\x9F\x92\x84,<ed><a0><bd><ed><b2><84>,0
LOCK,🔒,\xF0\x9F\x94\x92,<ed><a0><bd><ed><b4><92>,0
LOCK WITH INK PEN,🔏,\xF0\x9F\x94\x8F,<ed><a0><bd><ed><b4><8f>,0
LOLLIPOP,🍭,\xF0\x9F\x8D\xAD,<ed><a0><bc><ed><bd><ad>,0
LOUDLY CRYING FACE,😭,\xF0\x9F\x98\xAD,<ed><a0><bd><ed><b8><ad>,-9
LOVE HOTEL,🏩,\xF0\x9F\x8F\xA9,<ed><a0><bc><ed><bf><a9>,0
LOVE LETTER,💌,\xF0\x9F\x92\x8C,<ed><a0><bd><ed><b2><8c>,0
LOW BRIGHTNESS SYMBOL,🔅,\xF0\x9F\x94\x85,<ed><a0><bd><ed><b4><85>,0
MAHJONG TILE RED DRAGON,🀄,\xF0\x9F\x80\x84,<ed><a0><bc><ed><b0><84>,0
MAN,👨,\xF0\x9F\x91\xA8,<ed><a0><bd><ed><b1><a8>,0
MAN AND WOMAN HOLDING HANDS,👫,\xF0\x9F\x91\xAB,<ed><a0><bd><ed><b1><ab>,9
MAN WITH GUA PI MAO,👲,\xF0\x9F\x91\xB2,<ed><a0><bd><ed><b1><b2>,0
MAN WITH TURBAN,👳,\xF0\x9F\x91\xB3,<ed><a0><bd><ed><b1><b3>,0
MANS SHOE,👞,\xF0\x9F\x91\x9E,<ed><a0><bd><ed><b1><9e>,0
MAPLE LEAF,🍁,\xF0\x9F\x8D\x81,<ed><a0><bc><ed><bd><81>,0
MEAT ON BONE,🍖,\xF0\x9F\x8D\x96,<ed><a0><bc><ed><bd><96>,0
MEDIUM BLACK CIRCLE,⚫,\xE2\x9A\xAB,<e2><9a><ab>,0
MEDIUM WHITE CIRCLE,⚪,\xE2\x9A\xAA,<e2><9a><aa>,0
MELON,🍈,\xF0\x9F\x8D\x88,<ed><a0><bc><ed><bd><88>,0
MEMO,📝,\xF0\x9F\x93\x9D,<ed><a0><bd><ed><b3><9d>,0
MENS SYMBOL,🚹,\xF0\x9F\x9A\xB9,<ed><a0><bd><ed><ba><b9>,0
METRO,🚇,\xF0\x9F\x9A\x87,<ed><a0><bd><ed><ba><87>,0
MICROPHONE,🎤,\xF0\x9F\x8E\xA4,<ed><a0><bc><ed><be><a4>,0
MICROSCOPE,🔬,\xF0\x9F\x94\xAC,<ed><a0><bd><ed><b4><ac>,0
MILKY WAY,🌌,\xF0\x9F\x8C\x8C,<ed><a0><bc><ed><bc><8c>,0
MINIBUS,🚐,\xF0\x9F\x9A\x90,<ed><a0><bd><ed><ba><90>,0
MINIDISC,💽,\xF0\x9F\x92\xBD,<ed><a0><bd><ed><b2><bd>,0
MOBILE PHONE,📱,\xF0\x9F\x93\xB1,<ed><a0><bd><ed><b3><b1>,0
MOBILE PHONE OFF,📴,\xF0\x9F\x93\xB4,<ed><a0><bd><ed><b3><b4>,0
MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT,📲,\xF0\x9F\x93\xB2,<ed><a0><bd><ed><b3><b2>,0
MONEY BAG,💰,\xF0\x9F\x92\xB0,<ed><a0><bd><ed><b2><b0>,9
MONEY WITH WINGS,💸,\xF0\x9F\x92\xB8,<ed><a0><bd><ed><b2><b8>,-9
MONKEY,🐒,\xF0\x9F\x90\x92,<ed><a0><bd><ed><b0><92>,0
MONKEY FACE,🐵,\xF0\x9F\x90\xB5,<ed><a0><bd><ed><b0><b5>,0
MONORAIL,🚝,\xF0\x9F\x9A\x9D,<ed><a0><bd><ed><ba><9d>,0
MOON VIEWING CEREMONY,🎑,\xF0\x9F\x8E\x91,<ed><a0><bc><ed><be><91>,0
MOUNT FUJI,🗻,\xF0\x9F\x97\xBB,<ed><a0><bd><ed><b7><bb>,0
MOUNTAIN BICYCLIST,🚵,\xF0\x9F\x9A\xB5,<ed><a0><bd><ed><ba><b5>,0
MOUNTAIN CABLEWAY,🚠,\xF0\x9F\x9A\xA0,<ed><a0><bd><ed><ba><a0>,0
MOUNTAIN RAILWAY,🚞,\xF0\x9F\x9A\x9E,<ed><a0><bd><ed><ba><9e>,0
MOUSE,🐁,\xF0\x9F\x90\x81,<ed><a0><bd><ed><b0><81>,0
MOUSE FACE,🐭,\xF0\x9F\x90\xAD,<ed><a0><bd><ed><b0><ad>,0
MOUTH,👄,\xF0\x9F\x91\x84,<ed><a0><bd><ed><b1><84>,0
MOVIE CAMERA,🎥,\xF0\x9F\x8E\xA5,<ed><a0><bc><ed><be><a5>,0
MOYAI,🗿,\xF0\x9F\x97\xBF,<ed><a0><bd><ed><b7><bf>,0
MULTIPLE MUSICAL NOTES,🎶,\xF0\x9F\x8E\xB6,<ed><a0><bc><ed><be><b6>,0
MUSHROOM,🍄,\xF0\x9F\x8D\x84,<ed><a0><bc><ed><bd><84>,0
MUSICAL KEYBOARD,🎹,\xF0\x9F\x8E\xB9,<ed><a0><bc><ed><be><b9>,0
MUSICAL NOTE,🎵,\xF0\x9F\x8E\xB5,<ed><a0><bc><ed><be><b5>,0
MUSICAL SCORE,🎼,\xF0\x9F\x8E\xBC,<ed><a0><bc><ed><be><bc>,0
NAIL POLISH,💅,\xF0\x9F\x92\x85,<ed><a0><bd><ed><b2><85>,9
NAME BADGE,📛,\xF0\x9F\x93\x9B,<ed><a0><bd><ed><b3><9b>,0
NECKTIE,👔,\xF0\x9F\x91\x94,<ed><a0><bd><ed><b1><94>,0
NEGATIVE SQUARED AB,🆎,\xF0\x9F\x86\x8E,<ed><a0><bc><ed><b6><8e>,0
NEGATIVE SQUARED CROSS MARK,❎,\xE2\x9D\x8E,<e2><9d><8e>,0
NEGATIVE SQUARED LATIN CAPITAL LETTER A,🅰,\xF0\x9F\x85\xB0,<ed><a0><bc><ed><b5><b0>,0
NEGATIVE SQUARED LATIN CAPITAL LETTER B,🅱,\xF0\x9F\x85\xB1,<ed><a0><bc><ed><b5><b1>,0
NEGATIVE SQUARED LATIN CAPITAL LETTER O,🅾,\xF0\x9F\x85\xBE,<ed><a0><bc><ed><b5><be>,0
NEGATIVE SQUARED LATIN CAPITAL LETTER P,🅿,\xF0\x9F\x85\xBF,<ed><a0><bc><ed><b5><bf>,0
NEUTRAL FACE,😐,\xF0\x9F\x98\x90,<ed><a0><bd><ed><b8><90>,-9
NEW MOON SYMBOL,🌑,\xF0\x9F\x8C\x91,<ed><a0><bc><ed><bc><91>,0
NEW MOON WITH FACE,🌚,\xF0\x9F\x8C\x9A,<ed><a0><bc><ed><bc><9a>,0
NEWSPAPER,📰,\xF0\x9F\x93\xB0,<ed><a0><bd><ed><b3><b0>,0
NIGHT WITH STARS,🌃,\xF0\x9F\x8C\x83,<ed><a0><bc><ed><bc><83>,0
NO BICYCLES,🚳,\xF0\x9F\x9A\xB3,<ed><a0><bd><ed><ba><b3>,0
NO ENTRY,⛔,\xE2\x9B\x94,<e2><9b><94>,0
NO ENTRY SIGN,🚫,\xF0\x9F\x9A\xAB,<ed><a0><bd><ed><ba><ab>,0
NO MOBILE PHONES,📵,\xF0\x9F\x93\xB5,<ed><a0><bd><ed><b3><b5>,0
NO ONE UNDER EIGHTEEN SYMBOL,🔞,\xF0\x9F\x94\x9E,<ed><a0><bd><ed><b4><9e>,0
NO PEDESTRIANS,🚷,\xF0\x9F\x9A\xB7,<ed><a0><bd><ed><ba><b7>,0
NO SMOKING SYMBOL,🚭,\xF0\x9F\x9A\xAD,<ed><a0><bd><ed><ba><ad>,0
NON-POTABLE WATER SYMBOL,🚱,\xF0\x9F\x9A\xB1,<ed><a0><bd><ed><ba><b1>,0
NORTH EAST ARROW,↗,\xE2\x86\x97,<e2><86><97>,0
NORTH WEST ARROW,↖,\xE2\x86\x96,<e2><86><96>,0
NOSE,👃,\xF0\x9F\x91\x83,<ed><a0><bd><ed><b1><83>,0
NOTEBOOK,📓,\xF0\x9F\x93\x93,<ed><a0><bd><ed><b3><93>,0
NOTEBOOK WITH DECORATIVE COVER,📔,\xF0\x9F\x93\x94,<ed><a0><bd><ed><b3><94>,0
NUMBER SIGN + COMBINING ENCLOSING KEYCAP,#⃣,\x23\xE2\x83\xA3,#<e2><83><a3>,0
NUT AND BOLT,🔩,\xF0\x9F\x94\xA9,<ed><a0><bd><ed><b4><a9>,0
OCTOPUS,🐙,\xF0\x9F\x90\x99,<ed><a0><bd><ed><b0><99>,0
ODEN,🍢,\xF0\x9F\x8D\xA2,<ed><a0><bc><ed><bd><a2>,0
OFFICE BUILDING,🏢,\xF0\x9F\x8F\xA2,<ed><a0><bc><ed><bf><a2>,0
OK HAND SIGN,👌,\xF0\x9F\x91\x8C,<ed><a0><bd><ed><b1><8c>,9
OLDER MAN,👴,\xF0\x9F\x91\xB4,<ed><a0><bd><ed><b1><b4>,9
OLDER WOMAN,👵,\xF0\x9F\x91\xB5,<ed><a0><bd><ed><b1><b5>,9
ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE,🔛,\xF0\x9F\x94\x9B,<ed><a0><bd><ed><b4><9b>,0
ONCOMING AUTOMOBILE,🚘,\xF0\x9F\x9A\x98,<ed><a0><bd><ed><ba><98>,0
ONCOMING BUS,🚍,\xF0\x9F\x9A\x8D,<ed><a0><bd><ed><ba><8d>,0
ONCOMING POLICE CAR,🚔,\xF0\x9F\x9A\x94,<ed><a0><bd><ed><ba><94>,0
ONCOMING TAXI,🚖,\xF0\x9F\x9A\x96,<ed><a0><bd><ed><ba><96>,0
OPEN BOOK,📖,\xF0\x9F\x93\x96,<ed><a0><bd><ed><b3><96>,0
OPEN FILE FOLDER,📂,\xF0\x9F\x93\x82,<ed><a0><bd><ed><b3><82>,0
OPEN HANDS SIGN,👐,\xF0\x9F\x91\x90,<ed><a0><bd><ed><b1><90>,0
OPEN LOCK,🔓,\xF0\x9F\x94\x93,<ed><a0><bd><ed><b4><93>,0
OPEN MAILBOX WITH LOWERED FLAG,📭,\xF0\x9F\x93\xAD,<ed><a0><bd><ed><b3><ad>,0
OPEN MAILBOX WITH RAISED FLAG,📬,\xF0\x9F\x93\xAC,<ed><a0><bd><ed><b3><ac>,0
OPHIUCHUS,⛎,\xE2\x9B\x8E,<e2><9b><8e>,0
OPTICAL DISC,💿,\xF0\x9F\x92\xBF,<ed><a0><bd><ed><b2><bf>,0
ORANGE BOOK,📙,\xF0\x9F\x93\x99,<ed><a0><bd><ed><b3><99>,0
OUTBOX TRAY,📤,\xF0\x9F\x93\xA4,<ed><a0><bd><ed><b3><a4>,0
